Name,Publisher,Year,Genre,Generation,Platform,Platform_type,Platform_company,Platform_Multi,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Fairly Odd Parents: Game Boy Advance Video Volume 1,Unknown,2004,Misc,6,GBA,Portable,Nintendo,Native,0.31,0.11,0.0,0.01,0.43
Discovery Kids: Pony Paradise,505 Games,2009,Simulation,7,DS,Portable,Nintendo,Native,0.19,0.0,0.0,0.01,0.2
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Activision,2005,Adventure,7,DS,Portable,Nintendo,Multi,0.05,0.0,0.0,0.0,0.05
Sol Trigger,Image Epoch,2012,Role-Playing,7,PSP,Portable,Sony,Native,0.0,0.0,0.1,0.0,0.1
Scooby-Doo! Mystery Mayhem,THQ,2004,Action,6,GC,Traditional,Nintendo,Multi,0.17,0.04,0.0,0.01,0.22000000000000003
Ebikore Photo Kano Kiss,Kadokawa Games,2015,Action,8,PSV,Portable,Sony,Native,0.0,0.0,0.03,0.0,0.03
Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,Broccoli,2008,Simulation,7,DS,Portable,Nintendo,Native,0.0,0.0,0.03,0.0,0.03
The Amazing Spider-Man (Console Version),Activision,2012,Action,7,PS3,Traditional,Sony,Multi,0.31,0.37,0.0,0.14,0.82
Chaos Rings III,Square Enix,2014,Role-Playing,8,PSV,Portable,Sony,Native,0.0,0.0,0.06,0.0,0.06
MX vs. ATV Unleashed: On the Edge,THQ,2006,Racing,7,PSP,Portable,Sony,Native,0.64,0.0,0.0,0.05,0.6900000000000001
"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",Marvelous Interactive,2006,Adventure,7,DS,Portable,Nintendo,Native,0.0,0.0,0.04,0.0,0.04
Gem Smashers,Crave Entertainment,2011,Platform,8,3DS,Portable,Nintendo,Multi,0.04,0.0,0.0,0.0,0.04
F1 2014,Codemasters,2014,Racing,7,PS3,Traditional,Sony,Multi,0.07,0.31,0.02,0.08,0.48000000000000004
Go Play: Lumberjacks,Majesco Entertainment,2009,Simulation,7,Wii,Traditional,Nintendo,Native,0.18,0.0,0.0,0.01,0.19
SBK Superbike World Championship,Black Bean Games,2008,Racing,7,PSP,Portable,Sony,Multi,0.01,0.0,0.0,0.0,0.01
Tiger Woods PGA Tour 2005,Electronic Arts,2004,Sports,6,XB,Traditional,Microsoft,Multi,0.64,0.18,0.0,0.03,0.8500000000000001
Rugby League Team Manager 2015,Alternative Software,2015,Action,8,PC,PC,PC,Native,0.0,0.02,0.0,0.0,0.02
Shellshock,Core Design Ltd.,1995,Action,5,PS,Traditional,Sony,Native,0.06,0.04,0.0,0.01,0.11
Venetica,DTP Entertainment,2010,Role-Playing,7,X360,Traditional,Microsoft,Multi,0.09,0.03,0.0,0.01,0.13
Crash Bandicoot 3: Warped,Sony Computer Entertainment,1998,Platform,5,PS,Traditional,Sony,Native,3.68,1.75,1.42,0.28,7.13
Mario Golf,Nintendo,1999,Action,4,GB,Portable,Nintendo,Multi,0.0,0.0,0.31,0.0,0.31
Stuart Little 3: Big Photo Adventure,Sony Computer Entertainment,2005,Platform,6,PS2,Traditional,Sony,Native,0.04,0.03,0.0,0.01,0.08
ATV Offroad Fury: Blazin' Trails,SouthPeak Games,2005,Racing,7,PSP,Portable,Sony,Native,0.53,0.0,0.0,0.04,0.5700000000000001
Disney Infinity 2.0: Marvel Super Heroes,Disney Interactive Studios,2015,Action,8,PSV,Portable,Sony,Multi,0.0,0.11,0.0,0.03,0.14
Battlestations: Pacific,Eidos Interactive,2009,Strategy,7,PC,PC,PC,Multi,0.0,0.02,0.0,0.0,0.02
Crash Bandicoot,Sony Computer Entertainment,1996,Platform,5,PS,Traditional,Sony,Native,3.23,2.35,0.94,0.3,6.819999999999999
Naval Ops: Warship Gunner,Tecmo Koei,2003,Simulation,6,PS2,Traditional,Sony,Native,0.05,0.04,0.0,0.01,0.09999999999999999
Lucha Libre AAA: Heroes del Ring,Konami Digital Entertainment,2010,Fighting,7,X360,Traditional,Microsoft,Multi,0.05,0.0,0.0,0.0,0.05
"Renai Banchou: Inochi Meishi, Koiseyo Otome! Love is Power!!!",Idea Factory,2010,Adventure,7,PSP,Portable,Sony,Native,0.0,0.0,0.02,0.0,0.02
Phoenix Wright: Ace Attorney - Justice for All,Capcom,2006,Adventure,7,DS,Portable,Nintendo,Native,0.24,0.05,0.26,0.03,0.5800000000000001
Bratz: Forever Diamondz,THQ,2006,Adventure,6,PS2,Traditional,Sony,Multi,0.01,0.01,0.0,0.0,0.02
WSC REAL 09: World Snooker Championship,Deep Silver,2009,Sports,7,X360,Traditional,Microsoft,Multi,0.0,0.01,0.0,0.0,0.01
Winning Post 7 2010,Tecmo Koei,2010,Sports,7,PS3,Traditional,Sony,Multi,0.0,0.0,0.07,0.0,0.07
FIFA 16,Electronic Arts,2015,Sports,8,PC,PC,PC,Multi,0.04,0.13,0.0,0.01,0.18000000000000002
Hatsune Miku: Project Diva f,Sega,2012,Misc,8,PSV,Portable,Sony,Multi,0.0,0.0,0.23,0.0,0.23
Buzz! The Hollywood Quiz,Sony Computer Entertainment,2007,Misc,6,PS2,Traditional,Sony,Native,0.17,0.0,0.0,0.61,0.78
Hyakka Hyakurou: Sengoku Ninpoujou,D3Publisher,2016,Adventure,8,PSV,Portable,Sony,Native,0.0,0.0,0.02,0.0,0.02
Ultimate Brain Games,Telegames,2003,Misc,6,GBA,Portable,Nintendo,Native,0.06,0.02,0.0,0.0,0.08
Backyard Hockey,Atari,2003,Sports,6,GBA,Portable,Nintendo,Multi,0.14,0.05,0.0,0.0,0.19
Natsuzora no Monologue,Otomate,2013,Adventure,7,PSP,Portable,Sony,Native,0.0,0.0,0.01,0.0,0.01
Dance Dance Revolution: Hottest Party 5,Konami Digital Entertainment,2011,Misc,7,Wii,Traditional,Nintendo,Native,0.0,0.03,0.0,0.0,0.03
Dora's Cooking Club,Take-Two Interactive,2010,Misc,7,DS,Portable,Nintendo,Native,0.08,0.01,0.0,0.01,0.09999999999999999
Sonic Advance 2,Sega,2002,Platform,6,GBA,Portable,Nintendo,Native,0.93,0.59,0.21,0.07,1.8
Sega Golf Club: Miyazato San Kyoudai Naizou,Sega,2006,Sports,7,PS3,Traditional,Sony,Native,0.0,0.0,0.01,0.0,0.01
Ninja Gaiden 3,Nintendo,2012,Action,8,WiiU,Traditional,Nintendo,Multi,0.15,0.03,0.0,0.02,0.19999999999999998
Resident Evil: Revelations,Capcom,2013,Action,7,X360,Traditional,Microsoft,Multi,0.12,0.11,0.02,0.02,0.26999999999999996
XIII,Ubisoft,2003,Shooter,6,GC,Traditional,Nintendo,Multi,0.07,0.02,0.0,0.0,0.09000000000000001
Bleach: The Blade of Fate,Sega,2006,Fighting,7,DS,Portable,Nintendo,Native,0.3,0.01,0.12,0.03,0.45999999999999996
Nova Usagi no Game de Ryuugaku!? DS,Konami Digital Entertainment,2007,Misc,7,DS,Portable,Nintendo,Native,0.0,0.0,0.01,0.0,0.01
Fire Emblem: Fuuin no Tsurugi,Nintendo,2002,Role-Playing,6,GBA,Portable,Nintendo,Native,0.0,0.0,0.39,0.0,0.39
Escape The Museum,Astragon,2010,Adventure,7,DS,Portable,Nintendo,Multi,0.05,0.12,0.0,0.02,0.18999999999999997
Tycoon City: New York,Atari,2006,Strategy,7,PC,PC,PC,Native,0.0,0.02,0.0,0.0,0.02
Pinball Hall of Fame: The Gottlieb Collection,Crave Entertainment,2004,Misc,6,XB,Traditional,Microsoft,Multi,0.06,0.02,0.0,0.0,0.08
F1 2009,Codemasters,2009,Racing,7,PSP,Portable,Sony,Multi,0.08,0.29,0.0,0.16,0.53
Slayers Royal,Kadokawa Shoten,1998,Role-Playing,5,PS,Traditional,Sony,Native,0.0,0.0,0.08,0.01,0.09
The Sims 2,Electronic Arts,2005,Simulation,7,PSP,Portable,Sony,Multi,0.49,0.56,0.0,0.33,1.3800000000000001
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Hudson Soft,2010,Misc,7,Wii,Traditional,Nintendo,Native,0.0,0.0,0.09,0.0,0.09
Big League Sports,Activision,2011,Sports,7,X360,Traditional,Microsoft,Multi,0.18,0.02,0.0,0.01,0.21
The King of Fighters 2006,Ignition Entertainment,2006,Fighting,6,PS2,Traditional,Sony,Native,0.01,0.01,0.05,0.0,0.07
Winx Club: Mission Enchantix,Konami Digital Entertainment,2008,Adventure,7,DS,Portable,Nintendo,Native,0.03,0.02,0.0,0.0,0.05
Pac-Man Party,Namco Bandai Games,2010,Misc,7,Wii,Traditional,Nintendo,Native,0.47,0.09,0.01,0.04,0.61
Cruis'n,Midway Games,2007,Racing,7,Wii,Traditional,Nintendo,Native,0.1,0.01,0.0,0.01,0.12
Dynasty Warriors 6,Tecmo Koei,2007,Action,7,X360,Traditional,Microsoft,Multi,0.15,0.06,0.06,0.02,0.29000000000000004
Sacred 3,Deep Silver,2014,Role-Playing,7,X360,Traditional,Microsoft,Multi,0.03,0.03,0.0,0.01,0.06999999999999999
FairlyLife: MiracleDays,Piacci,2010,Adventure,7,PSP,Portable,Sony,Native,0.0,0.0,0.01,0.0,0.01
Kenka Bancho Bros: Tokyo Battle Royale,Spike,2012,Action,7,PSP,Portable,Sony,Native,0.0,0.0,0.1,0.0,0.1
My Spanish Coach,Ubisoft,2008,Misc,7,PSP,Portable,Sony,Multi,0.12,0.0,0.0,0.01,0.13
Major League Baseball Featuring Ken Griffey Jr,Nintendo,1998,Sports,5,N64,Traditional,Nintendo,Native,0.75,0.03,0.0,0.01,0.79
Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,ASK,1996,Misc,5,SAT,Traditional,Sega,Native,0.0,0.0,0.03,0.0,0.03
Family Fun Football,Tecmo Koei,2009,Sports,7,Wii,Traditional,Nintendo,Native,0.1,0.0,0.0,0.01,0.11
Deathrow: Underground Team Combat,Ubisoft,2002,Sports,6,XB,Traditional,Microsoft,Native,0.05,0.01,0.0,0.0,0.060000000000000005
Halo Wars,Microsoft Game Studios,2009,Strategy,7,X360,Traditional,Microsoft,Native,1.53,0.82,0.04,0.24,2.63
Final Fantasy VI,Sony Computer Entertainment,1999,Role-Playing,5,PS,Traditional,Sony,Native,0.0,0.0,0.08,0.01,0.09
Tiger Woods PGA Tour 08,Electronic Arts,2007,Sports,7,X360,Traditional,Microsoft,Multi,0.49,0.02,0.0,0.04,0.55
Rally Cross 2,989 Studios,1998,Racing,5,PS,Traditional,Sony,Native,0.19,0.13,0.0,0.02,0.34
LEGO The Lord of the Rings,Warner Bros. Interactive Entertainment,2012,Action,7,Wii,Traditional,Nintendo,Multi,0.52,0.37,0.0,0.08,0.97
Edna & Harvey: Harvey's New Eyes,Rondomedia,2011,Adventure,7,PC,PC,PC,Native,0.0,0.07,0.0,0.01,0.08
RPG Tsukuru DS,Enterbrain,2010,Role-Playing,7,DS,Portable,Nintendo,Native,0.0,0.0,0.05,0.0,0.05
FaceBreaker K.O. Party,Electronic Arts,2008,Fighting,7,Wii,Traditional,Nintendo,Native,0.2,0.01,0.0,0.02,0.23
Jikkyou Powerful Pro Yakyuu 12,Konami Digital Entertainment,2005,Sports,6,PS2,Traditional,Sony,Multi,0.0,0.0,0.45,0.0,0.45
Casper: Spirit Dimensions,TDK Mediactive,2001,Platform,6,PS2,Traditional,Sony,Multi,0.07,0.05,0.0,0.02,0.14
Need for Speed: The Run,Electronic Arts,2011,Action,7,X360,Traditional,Microsoft,Multi,0.63,0.58,0.0,0.15,1.3599999999999999
Spectrobes: Beyond the Portals,Disney Interactive Studios,2008,Role-Playing,7,DS,Portable,Nintendo,Native,0.37,0.11,0.0,0.04,0.52
Canimal Triple,Warner Bros. Interactive Entertainment,2014,Misc,8,PSV,Portable,Sony,Native,0.0,0.02,0.0,0.0,0.02
Bayonetta,Sega,2009,Action,7,X360,Traditional,Microsoft,Multi,0.51,0.26,0.09,0.08,0.94
Far Cry,Ubisoft,2004,Shooter,6,PC,PC,PC,Native,0.0,0.04,0.0,0.01,0.05
K-1 World Grand Prix,Konami Digital Entertainment,2002,Sports,6,PS2,Traditional,Sony,Native,0.04,0.03,0.1,0.01,0.18000000000000002
WRC 5: FIA World Rally Championship,Bigben Interactive,2015,Sports,7,PS3,Traditional,Sony,Multi,0.02,0.09,0.0,0.02,0.13
Rocket: Robot on Wheels,Ubisoft,1999,Platform,5,N64,Traditional,Nintendo,Native,0.1,0.02,0.0,0.0,0.12000000000000001
Bio FREAKS,GT Interactive,1998,Action,5,PS,Traditional,Sony,Multi,0.07,0.05,0.0,0.01,0.13
Battle Spirits: Digital Starter,Namco Bandai Games,2010,Role-Playing,7,DS,Portable,Nintendo,Native,0.0,0.0,0.04,0.0,0.04
Star Wars Episode I: The Phantom Menace,LucasArts,1999,Adventure,5,PS,Traditional,Sony,Native,0.72,0.89,0.04,0.1,1.75
F.E.A.R.,Vivendi Games,2006,Shooter,7,X360,Traditional,Microsoft,Multi,0.28,0.03,0.0,0.03,0.3400000000000001
Zumba Fitness,505 Games,2010,Sports,7,PS3,Traditional,Sony,Multi,0.28,0.21,0.0,0.09,0.58
Phantom Brave,Tecmo Koei,2004,Role-Playing,6,PS2,Traditional,Sony,Native,0.07,0.05,0.0,0.02,0.14
Donkey Konga,Nintendo,2003,Misc,6,GC,Traditional,Nintendo,Native,0.5,0.16,0.46,0.03,1.1500000000000001
Petz: Horse Club,Ubisoft,2008,Misc,7,Wii,Traditional,Nintendo,Native,0.2,0.0,0.0,0.02,0.22
Bridge,Activision,1980,Misc,2,2600,Traditional,Atari,Native,0.25,0.02,0.0,0.0,0.27
Hysteria Hospital: Emergency Ward,Oxygen Interactive,2009,Action,7,Wii,Traditional,Nintendo,Multi,0.05,0.0,0.0,0.0,0.05
Cars 2,Disney Interactive Studios,2011,Racing,7,PS3,Traditional,Sony,Multi,0.22,0.23,0.0,0.09,0.54
Brothers: A Tale of Two Sons,505 Games,2015,Adventure,8,XOne,Traditional,Microsoft,Multi,0.03,0.01,0.0,0.0,0.04
Just Dance 2,Ubisoft,2010,Misc,7,Wii,Traditional,Nintendo,Native,5.84,2.89,0.01,0.78,9.52
Gradius Collection,Konami Digital Entertainment,2006,Shooter,7,PSP,Portable,Sony,Native,0.04,0.0,0.02,0.0,0.06
Romance of the Three Kingdoms IV: Wall of Fire,Tecmo Koei,1995,Strategy,5,PS,Traditional,Sony,Multi,0.05,0.03,0.04,0.01,0.13
Backyard Wrestling: Don't Try This at Home,Eidos Interactive,2003,Fighting,6,PS2,Traditional,Sony,Multi,0.3,0.23,0.0,0.08,0.61
Goosebumps: The Game,WayForward Technologies,2015,Adventure,8,3DS,Portable,Nintendo,Native,0.05,0.0,0.0,0.01,0.060000000000000005
Rock Band 2,MTV Games,2008,Misc,7,Wii,Traditional,Nintendo,Multi,0.94,0.01,0.0,0.08,1.03
SSX,Electronic Arts,2000,Sports,6,PS2,Traditional,Sony,Multi,0.78,0.61,0.06,0.2,1.6500000000000001
Tenchu: Dark Secret,From Software,2006,Action,7,DS,Portable,Nintendo,Native,0.03,0.0,0.01,0.0,0.04
Zwei!!,Falcom Corporation,2008,Role-Playing,7,PSP,Portable,Sony,Native,0.0,0.0,0.02,0.0,0.02
Family Guy: Back to the Multiverse,Activision,2012,Action,7,PS3,Traditional,Sony,Multi,0.12,0.12,0.0,0.05,0.29
Dora The Explorer: Dora Saves the Snow Princess,Take-Two Interactive,2008,Platform,6,PS2,Traditional,Sony,Multi,0.19,0.15,0.0,0.05,0.38999999999999996
NASCAR: Dirt to Daytona,Infogrames,2002,Racing,6,GC,Traditional,Nintendo,Native,0.07,0.02,0.0,0.0,0.09000000000000001
Command & Conquer: The First Decade,Electronic Arts,2006,Strategy,7,PC,PC,PC,Native,0.01,0.01,0.0,0.0,0.02
Afro Samurai,Atari,2009,Action,7,PS3,Traditional,Sony,Multi,0.12,0.05,0.0,0.03,0.19999999999999998
PDC World Championship Darts: Pro Tour,O-Games,2010,Sports,7,PS3,Traditional,Sony,Multi,0.0,0.09,0.0,0.03,0.12
Homie Rollerz,Destineer,2008,Racing,7,DS,Portable,Nintendo,Native,0.07,0.0,0.0,0.01,0.08
Whacked!,Microsoft Game Studios,2002,Misc,6,XB,Traditional,Microsoft,Native,0.07,0.02,0.0,0.0,0.09000000000000001
TMNT: Mutant Melee,Konami Digital Entertainment,2005,Fighting,6,GC,Traditional,Nintendo,Multi,0.06,0.01,0.0,0.0,0.06999999999999999
Monopoly,Electronic Arts,2008,Misc,7,Wii,Traditional,Nintendo,Multi,0.87,0.85,0.0,0.2,1.92
Madagascar,Activision,2005,Platform,6,GBA,Portable,Nintendo,Multi,0.62,0.24,0.0,0.03,0.89
Midnight Club: LA Remix,Take-Two Interactive,2008,Racing,7,PSP,Portable,Sony,Native,0.52,0.28,0.0,0.19,0.99
Mystic Heroes,Tecmo Koei,2002,Action,6,GC,Traditional,Nintendo,Multi,0.03,0.01,0.04,0.0,0.08
Metal Saga,Success,2005,Role-Playing,6,PS2,Traditional,Sony,Native,0.01,0.01,0.0,0.0,0.02
Damnation,Codemasters,2009,Shooter,7,X360,Traditional,Microsoft,Multi,0.06,0.01,0.0,0.01,0.07999999999999999
Electroplankton,Nintendo,2005,Misc,7,DS,Portable,Nintendo,Native,0.01,0.0,0.02,0.0,0.03
Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales),Konami Digital Entertainment,2006,Action,7,PSP,Portable,Sony,Native,0.0,0.0,0.01,0.0,0.01
ESPN MLS ExtraTime 2002,Konami Digital Entertainment,2002,Sports,6,GC,Traditional,Nintendo,Multi,0.02,0.0,0.0,0.0,0.02
Mario Party 2,Nintendo,1999,Misc,5,N64,Traditional,Nintendo,Native,1.28,0.14,1.08,0.01,2.51
Rayman Raving Rabbids 2,Ubisoft,2007,Misc,7,Wii,Traditional,Nintendo,Multi,0.83,0.82,0.0,0.2,1.8499999999999999
Major League Baseball 2K8 Fantasy All-Stars,Take-Two Interactive,2008,Sports,7,DS,Portable,Nintendo,Native,0.11,0.0,0.0,0.01,0.12
Kikou Heidan J-Phoenix 2,Takara,2003,Action,6,PS2,Traditional,Sony,Native,0.0,0.0,0.04,0.0,0.04
X3: Terran War Pack,Deep Silver,2012,Misc,7,PC,PC,PC,Native,0.0,0.02,0.0,0.0,0.02
Just Cause,Eidos Interactive,2006,Action,7,X360,Traditional,Microsoft,Multi,0.1,0.03,0.01,0.01,0.15000000000000002
Wappy Dog,Activision,2011,Simulation,7,DS,Portable,Nintendo,Native,0.27,0.0,0.0,0.02,0.29000000000000004
Harry Potter and the Order of the Phoenix,Electronic Arts,2007,Action,7,X360,Traditional,Microsoft,Multi,0.24,0.04,0.0,0.02,0.3
Paperboy,Midway Games,1999,Action,5,N64,Traditional,Nintendo,Native,0.19,0.05,0.0,0.0,0.24
Cabela's Big Game Hunter,Activision Value,2002,Sports,6,GBA,Portable,Nintendo,Multi,0.07,0.02,0.0,0.0,0.09000000000000001
WipEout Fusion,Sony Computer Entertainment,2002,Racing,6,PS2,Traditional,Sony,Native,0.12,0.1,0.0,0.03,0.25
Rango: The Video Game,Electronic Arts,2011,Action,7,PS3,Traditional,Sony,Multi,0.07,0.09,0.0,0.04,0.2
River City Ransom EX,Atlus,2004,Action,6,GBA,Portable,Nintendo,Native,0.05,0.02,0.0,0.0,0.07
FIFA 2000,Electronic Arts,1998,Sports,5,PS,Traditional,Sony,Native,0.22,1.47,0.04,0.14,1.87
Family Party: Fitness Fun,D3Publisher,2010,Sports,7,Wii,Traditional,Nintendo,Native,0.14,0.0,0.0,0.01,0.15000000000000002
Densha De Go! 3 Tsuukinhen,Taito,2001,Simulation,6,PS2,Traditional,Sony,Native,0.0,0.0,0.06,0.0,0.06
Discovery Kids: Parrot Pals,505 Games,2009,Simulation,7,DS,Portable,Nintendo,Native,0.07,0.0,0.0,0.0,0.07
Call of Duty: World at War,Activision,2008,Shooter,7,PC,PC,PC,Multi,0.02,0.13,0.0,0.03,0.18
Trade & Battle: Card Hero,Nintendo,2000,Strategy,4,GB,Portable,Nintendo,Native,0.0,0.0,0.2,0.0,0.2
Dragon Ball Z: Budokai,Atari,2003,Fighting,6,GC,Traditional,Nintendo,Multi,0.53,0.14,0.0,0.02,0.6900000000000001
I Love Horses,GSP,2008,Simulation,7,DS,Portable,Nintendo,Native,0.21,0.0,0.0,0.01,0.22
Let's Ride: Sunshine Stables,DTP Entertainment,2005,Sports,6,GBA,Portable,Nintendo,Native,0.12,0.04,0.0,0.0,0.16
NHL 11,Electronic Arts,2010,Sports,7,X360,Traditional,Microsoft,Multi,0.61,0.07,0.0,0.05,0.73
ESPN NBA 2Night 2002,Konami Digital Entertainment,2002,Sports,6,XB,Traditional,Microsoft,Multi,0.01,0.0,0.0,0.0,0.01
Milo's Astro Lanes,Interplay,1998,Sports,5,N64,Traditional,Nintendo,Native,0.08,0.02,0.0,0.0,0.1
Sniper Elite,Reef Entertainment,2010,Shooter,7,Wii,Traditional,Nintendo,Multi,0.08,0.03,0.0,0.01,0.12
The Conveni: Ano Machi wo Dokusen Seyo,Human Entertainment,1997,Simulation,5,PS,Traditional,Sony,Native,0.0,0.0,0.3,0.02,0.32
Royal Palace of White Sword and The City of Gentiles,Take-Two Interactive,2005,Role-Playing,6,XB,Traditional,Microsoft,Multi,0.06,0.02,0.0,0.0,0.08
"Blast Works: Build, Trade, Destroy",Eidos Interactive,2008,Shooter,7,Wii,Traditional,Nintendo,Native,0.09,0.0,0.0,0.01,0.09999999999999999
Furu Furu Park,Taito,2007,Misc,7,Wii,Traditional,Nintendo,Native,0.05,0.0,0.0,0.0,0.05
Transformers: War for Cybertron -- Decepticons,Activision,2010,Action,7,DS,Portable,Nintendo,Native,0.11,0.01,0.0,0.01,0.13
Story Hour: Adventures,Zoo Digital Publishing,2008,Adventure,7,Wii,Traditional,Nintendo,Native,0.03,0.0,0.0,0.0,0.03
Super Monkey Ball Adventure,Sega,2006,Platform,6,PS2,Traditional,Sony,Multi,0.01,0.01,0.0,0.0,0.02
Ace Combat: Assault Horizon Legacy,Namco Bandai Games,2011,Simulation,8,3DS,Portable,Nintendo,Native,0.1,0.06,0.08,0.01,0.25
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,Namco Bandai Games,2006,Shooter,6,PS2,Traditional,Sony,Native,0.0,0.0,0.49,0.0,0.49
Harvest Moon 64,Pack In Soft,1999,Simulation,5,N64,Traditional,Nintendo,Native,0.25,0.06,0.11,0.06,0.48
Monopoly Party,Infogrames,2002,Misc,6,XB,Traditional,Microsoft,Multi,0.14,0.04,0.0,0.01,0.19000000000000003
Captain Morgane and the Golden Turtle,Reef Entertainment,2012,Adventure,7,PC,PC,PC,Multi,0.0,0.02,0.0,0.0,0.02
Shinobido 2: Tales of the Ninja,Sony Computer Entertainment,2011,Action,8,PSV,Portable,Sony,Native,0.06,0.05,0.02,0.03,0.16
Flash Focus: Vision Training in Minutes a Day,Nintendo,2007,Misc,7,DS,Portable,Nintendo,Native,0.87,1.57,1.05,0.35,3.8400000000000003
A Collection of Activision Classic Games for the Atari 2600,Activision,1998,Misc,5,PS,Traditional,Sony,Native,0.76,0.52,0.0,0.09,1.37
Command & Conquer 3: Kane's Wrath,Electronic Arts,2008,Strategy,7,X360,Traditional,Microsoft,Multi,0.16,0.06,0.0,0.02,0.24
Herc's Adventures,Virgin Interactive,1997,Action,5,PS,Traditional,Sony,Native,0.02,0.01,0.0,0.0,0.03
Crash Nitro Kart,Vivendi Games,2003,Racing,6,GC,Traditional,Nintendo,Multi,0.2,0.05,0.0,0.01,0.26
echochrome,Sony Computer Entertainment,2008,Puzzle,7,PSP,Portable,Sony,Native,0.0,0.01,0.08,0.0,0.09
Tom Clancy's Splinter Cell: Essentials,Ubisoft,2006,Shooter,7,PSP,Portable,Sony,Native,0.17,0.01,0.0,0.02,0.2
Dynasty Warriors 5 Empires,Tecmo Koei,2006,Action,6,PS2,Traditional,Sony,Multi,0.11,0.09,0.12,0.03,0.35
ESPN National Hockey Night,Konami Digital Entertainment,2001,Sports,6,PS2,Traditional,Sony,Native,0.03,0.03,0.0,0.01,0.06999999999999999
Final Fantasy Fables: Chocobo's Dungeon,Square Enix,2007,Role-Playing,7,Wii,Traditional,Nintendo,Native,0.09,0.0,0.11,0.01,0.21000000000000002
Rumble Racing,Electronic Arts,2001,Racing,6,PS2,Traditional,Sony,Native,0.1,0.08,0.0,0.03,0.21
Dokapon Kingdom,Sting,2007,Role-Playing,6,PS2,Traditional,Sony,Multi,0.05,0.04,0.02,0.01,0.12
The Sims 3: Seasons,Electronic Arts,2012,Simulation,7,PC,PC,PC,Native,0.0,0.13,0.0,0.03,0.16
WWE SmackDown vs. Raw 2010,THQ,2009,Fighting,7,X360,Traditional,Microsoft,Multi,0.56,0.38,0.01,0.11,1.06
UFC: Tapout 2,Capcom,2003,Fighting,6,XB,Traditional,Microsoft,Native,0.08,0.02,0.0,0.0,0.1
Phantasy Star Online 2: Episode 3 Deluxe Package,Sega,2015,Action,8,PSV,Portable,Sony,Native,0.0,0.0,0.03,0.0,0.03
Adventure Time: The Secret of the Nameless,Little Orbit,2014,Adventure,7,X360,Traditional,Microsoft,Multi,0.01,0.0,0.0,0.0,0.01
RollerCoaster Tycoon,Atari,2003,Strategy,6,XB,Traditional,Microsoft,Native,0.1,0.03,0.0,0.0,0.13
Dragon Age: Inquisition,Electronic Arts,2014,Role-Playing,7,PS3,Traditional,Sony,Multi,0.26,0.23,0.05,0.1,0.64
Final Fantasy XIV: A Realm Reborn,Square Enix,2014,Role-Playing,8,PS4,Traditional,Sony,Multi,0.32,0.22,0.08,0.1,0.72
Hasbro Family Game Night 3,Electronic Arts,2010,Misc,7,PS3,Traditional,Sony,Multi,0.18,0.04,0.0,0.03,0.25
Grease Dance,505 Games,2011,Misc,7,X360,Traditional,Microsoft,Multi,0.11,0.03,0.0,0.01,0.15000000000000002
Summer Athletics: The Ultimate Challenge (US sales),DTP Entertainment,2008,Sports,7,Wii,Traditional,Nintendo,Native,0.23,0.04,0.0,0.0,0.27
MLB 2005,Sony Computer Entertainment,2004,Sports,6,PS2,Traditional,Sony,Native,0.44,0.35,0.0,0.12,0.91
15 Days,DTP Entertainment,2009,Adventure,7,PC,PC,PC,Native,0.0,0.01,0.0,0.0,0.01
Pandemonium!,BMG Interactive Entertainment,1996,Platform,5,PS,Traditional,Sony,Native,0.12,0.08,0.0,0.01,0.21000000000000002
Michael Phelps: Push the Limit,505 Games,2011,Sports,7,X360,Traditional,Microsoft,Native,0.09,0.01,0.0,0.01,0.10999999999999999
Nobunaga no Yabou: Tendou,Tecmo Koei,2010,Strategy,7,PS3,Traditional,Sony,Native,0.0,0.0,0.13,0.0,0.13
Dora the Explorer: Dora Saves the Crystal Kingdom,Take-Two Interactive,2009,Misc,7,Wii,Traditional,Nintendo,Multi,0.24,0.01,0.0,0.02,0.27
11eyes: CrossOver,5pb,2010,Adventure,7,PSP,Portable,Sony,Multi,0.0,0.0,0.02,0.0,0.02
WireWay,Konami Digital Entertainment,2009,Adventure,7,DS,Portable,Nintendo,Native,0.1,0.0,0.0,0.01,0.11
Tales of Symphonia: Dawn of the New World,Namco Bandai Games,2008,Role-Playing,7,Wii,Traditional,Nintendo,Native,0.22,0.05,0.24,0.03,0.54
Attack on Titan: Humanity in Chains,Screenlife,2013,Action,8,3DS,Portable,Nintendo,Native,0.0,0.0,0.41,0.0,0.41
Pro Evolution Soccer 2013,Konami Digital Entertainment,2012,Sports,7,X360,Traditional,Microsoft,Multi,0.08,0.2,0.0,0.03,0.31000000000000005
Langrisser IV,NCS,1997,Strategy,5,SAT,Traditional,Sega,Native,0.0,0.0,0.11,0.0,0.11
